titulo,tipo_puesto,tecnologias_x,jornada,es_remoto,link
AWS DevOps Engineer,DevOps,"AWS,Azure,Kubernetes",Jornada completa,False,https://www.tecnoempleo.com/aws-devops-engineer-axiom-software-solutions/aws-azure-kubernetes/rf-328a1c9f12bdf3e7714c
Cloud Infrastructure Specialist,DevOps,"azue,AWS,Docker",Jornada completa,False,https://www.tecnoempleo.com/cloud-infrastructure-specialist-santander/azure-aws-docker-kubernetes/rf-ea4e1d2c723343dc104d
Data Engineer (Snowflake/AWS/python),Big Data,"sowflake,aws,daa",Jornada completa,False,https://www.tecnoempleo.com/data-engineer-snowflake-aws-python-krell-consultin/snowflake-aws-data-sql-/rf-e1b410109290439b044d
Data Technical Lead,Big Data,"AWSS3,Redshift,Glue",Jornada completa,False,https://www.tecnoempleo.com/data-technical-lead-axiom-software-solutions/aws-s3-redshift-glue-etl-pyth/rf-7979154c92ce335c5348
Privileged Access Management,Técnico de Sistemas,"PAM,Linux,Windows",Jornada completa,False,https://www.tecnoempleo.com/privileged-access-management-axiom-software-soluti/pam-linux-windows/rf-424c139822a19312bd42
Tecnico/a SEO y Contenidos,SEO/Posicionamiento Web,"SEO,GoogleAalyics,SeachCosole",Jornada completa,False,https://www.tecnoempleo.com/tecnico-seo-contenidos-page-personnel/seo-google-analytics-search-console-/rf-ac431499b2a1d39fcf45
Ingeniero/a infraestructuras IT,DevOps,"Pyho,C,C",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-infraestructuras-it-gmv/python-c-c-kubernetes/rf-481c1d5a5263a37ab247
Responsable de IT,Jefe de Proyecto,ERP,Jornada completa,False,https://www.tecnoempleo.com/responsable-it-michael-page/erp/rf-59de1591927943c78046
Consultor/a marco documental IT,Consultor,cosuloia,Jornada completa,False,https://www.tecnoempleo.com/consultor-marco-documental-it-michael-page/consultoria/rf-a3e0158a72e5b348354b
Programador/a PLC,Electronica,"PLC,HMI",Jornada completa,False,https://www.tecnoempleo.com/programador-plc-hays/plc-hmi/rf-1e571fb95202833d194c
Art Manager,Diseno grafico,mobilegame,Jornada completa,False,https://www.tecnoempleo.com/art-manager-aristocrat/mobile-game/rf-e2d7146702d073e5f640
Product Owner,Responsable de Producto,"agile,scum",Jornada completa,False,https://www.tecnoempleo.com/product-owner-aristocrat/agile-scrum/rf-4d501432a23d93de1344
Tecnico/a I+D,I+D,Navisio,Jornada completa,False,https://www.tecnoempleo.com/tecnico-i-d-hays/navision/rf-14211337e24b13df074d
Arquitecto de Soluciones IT,Arquitecto TIC,"SOA,API",Jornada completa,True,https://www.tecnoempleo.com/arquitecto-soluciones-it-michael-page/soa-api/rf-e8f013e0122cf3aaa54f
Data Scientist con ingles,Big Data,"Pyho,SQL,Spak",Jornada completa,True,https://www.tecnoempleo.com/data-scientist-con-ingles-aubay/python-sql-spark/rf-a9e81965825e339c1b44
Technical Writer with BA,Analista,SaaS,Jornada completa,False,https://www.tecnoempleo.com/technical-writer-with-ba-axiom-software-solutions/saas/rf-82df19a10278036d154e
Azure Devops Developer,DevOps,azue,Jornada completa,False,https://www.tecnoempleo.com/azure-devops-developer-axiom-software-solutions/azure/rf-370f12d50281533dff48
CTO / Product Manager IoT (h/m),Responsable de Producto,"IoT,AWS",Jornada completa,False,https://www.tecnoempleo.com/cto-product-manager-iot-h-m-michael-page/iot-aws/rf-67f013aae24363c2ac4d
IT Manager Spain and Portugal - Retail,Jefe de Equipo,SAP,Jornada completa,False,https://www.tecnoempleo.com/it-manager-spain-and-portugal-retail-michael-page/sap/rf-30981410c21f53924047
Delivery Project Manager - ERP y CRM,Jefe de Proyecto,PMP,Jornada completa,False,https://www.tecnoempleo.com/delivery-project-manager-erp-crm-michael-page/pmp/rf-10e6127922b4d3912146
Analista Jr. Control Interno,Analista,"ISO27001,DORA",Jornada completa,False,https://www.tecnoempleo.com/analista-jr-control-interno-michael-page/iso-27001-dora/rf-98c8178f42d5f3c90d4e
Programador/a PL/SQL Oracle Forms,Programador,"oacle,plsql,PL/SQL",Jornada completa,False,https://www.tecnoempleo.com/programador-pl-sql-oracle-forms-grupo-ns/oracle-plsql-pl-sql-apex/rf-b9201193e23be333f644
Desarrollador Java,Programador,"Java,Spig,ResFul",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-java-devoteam/java-spring-restful-openapi-swagger/rf-4f08143612c203ba1b4a
Ingeniero/a de software,Programador,"Excel,Maomo,Liux",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-software-gmv/excel-matomo-linux/rf-e2e511eeb2db630cf44d
.Net Backend Developer,Programador,"NET,C#",Jornada completa,False,https://www.tecnoempleo.com/net-backend-developer-hays/net-c/rf-74041b254207033e7741
Health and Safety Engineer,Ingenieros/Industria,"RAM,ECSS",Jornada completa,False,https://www.tecnoempleo.com/health-and-safety-engineer-arelance/ram-ecss/rf-de49198072f29301c74e
Desarrollador de software,Programador,".e,azue",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-software-dynomic/net-azure/rf-c5fd11e7a25b734b034d
QA Automatizacion,Tester,"Seleium,Java,ResAssued",Jornada completa,False,https://www.tecnoempleo.com/qa-automatizacion-panel-sistemas-informaticos/selenium-java-rest-assured-g/rf-d3381b38221f43121048
Online Data Analyst Spanish (ES),Analista,Data,Por horas,True,https://www.tecnoempleo.com/online-data-analyst-spanish-es-telus-international/data/rf-3bb61a9d3201e3b28f4e
Tecnico de Redes,Redes,"Cisco,HP,Auba",Jornada completa,False,https://www.tecnoempleo.com/tecnico-redes-trs-staffing-solutions/cisco-hp-aruba-fortigate-fortianalyze/rf-867a1e939233034daf42
Arquitecto SAP HANA e ISU,Analista,"SAP,SAPHANA,HANA",Jornada completa,True,https://www.tecnoempleo.com/arquitecto-sap-hana-e-isu-consulsap/sap-sap-hana-hana-sap-isu-sap-utilitie/rf-b3361b7ef2fa03941a4a
Service Manager con Ingles,Jefe de Proyecto,"iil,jia,saas",Jornada completa,False,https://www.tecnoempleo.com/service-manager-con-ingles-digital-talent-agency/itil-jira-saas-aws/rf-bec91155826a83d1da48
IT PMO (con exp. banca y/o trading),Jefe de Proyecto,pojecmaage,Jornada completa,False,https://www.tecnoempleo.com/it-pmo-con-exp-banca-y-o-trading-pss/project-manager/rf-32221ba0d21a13e05241
IT PMO (Ingles),Tecnico de Gestion,"PMO,agile",Jornada completa,False,https://www.tecnoempleo.com/it-pmo-ingles-pss/pmo-agile/rf-3b1c110e5294a31b1840
Project Manager Infraestructrura (IAM),Tecnico de Gestion,"PM,IAM,ITSecuiy",Media jornada,True,https://www.tecnoempleo.com/project-manager-infraestructrura-iam-pss/pm-iam-it-security/rf-1b221c2dd22f73fb9c4f
IT Delivery Manager (Ingles),Tecnico de Gestion,"Jia,Cofluece",Jornada completa,True,https://www.tecnoempleo.com/it-delivery-manager-ingles-pss/jira-confluence/rf-25cd18cf529713258a44
IT Project Manager,Jefe de Proyecto,"Jia,PojecMaage",Jornada completa,False,https://www.tecnoempleo.com/it-project-manager-pss/jira-project-manager/rf-a90e15a1d212f32c354e
Data Engineer DBT Snowflake GitHub,Big Data,"DBT,Sowflake,GiHub",Jornada completa,True,https://www.tecnoempleo.com/data-engineer-dbt-snowflake-github-serem/dbt-snowflake-github/rf-0d441d6c12b893a50247
Ingeniero infraestructuras IT AWS Azure,Big Data,"DFS,AWS,Azure",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-infraestructuras-it-aws-azure-serem/dfs-aws-azure-terraform-powe/rf-ff6e183042f323629545
Administrador/a Sistemas Microsoft O365,Administrador,"Exchage,Office365",Jornada completa,False,https://www.tecnoempleo.com/administrador-sistemas-microsoft-o365-serem/exchange-office-365/rf-f58110b942f7e35eac48
Consultor SAP HCM,Analista,"SAP,SAPHCM,SAPHR",Jornada completa,True,https://www.tecnoempleo.com/consultor-sap-hcm-consulsap/sap-sap-hcm-sap-hr-freelance/rf-d95a1b7b824003a6204e
Consultor BMC Discovery,Consultor,"BMCDiscovey,TPL",Jornada completa,True,https://www.tecnoempleo.com/consultor-bmc-discovery-panel-sistemas-informatico/bmc-discovery-tpl/rf-68261f7b82ccc351cb48
Desarrollador/a Full Stack Python,Desarrollador Web,"Pyho,Djago,javascip",Jornada completa,True,https://www.tecnoempleo.com/desarrollador-full-stack-python-serem/python-django-javascript/rf-ed381df2e209133c2548
Tecnico de Soporte Tecnico,Soporte Tecnico,"sopoe,micoifomica",Jornada completa,False,https://www.tecnoempleo.com/tecnico-soporte-tecnico-zaidan-it-consulting/soporte-microinformatica/rf-48ca181442b0c386ef43
Administrador/a seguridad perimetral,Administrador,"foie,paloalo,ifobloxcisco",Jornada completa,False,https://www.tecnoempleo.com/administrador-seguridad-perimetral-serem/fortinet-paloalto-infoblox-cisco-/rf-73c21612c206f3a4724b
Analista Programador Dynamics 365,Analista Programador,"dyamics,dyamics365",Jornada completa,True,https://www.tecnoempleo.com/analista-programador-dynamics-365-krell-consulting/dynamics-dynamics-365/rf-2b8d1abb32101371694e
Analista Programador/a senior JAVA,Analista Programador,"Java,Spig",Jornada completa,True,https://www.tecnoempleo.com/analista-programador-senior-java-krell-consulting-/java-spring/rf-18e21b05a2f703b7bd40
Analista Programador/a Java,Analista Programador,"java,aws",Jornada completa,False,https://www.tecnoempleo.com/analista-programador-java-madrid/java-aws/rf-e302124d92caf3a4ef42
Technical Lead AZURE AWS,Técnico de Sistemas,"aws,azue,Teafom",Jornada completa,False,https://www.tecnoempleo.com/technical-lead-azure-aws-krell-consulting-training/aws-azure-terraform/rf-b5e61b0012cc43eca948
