link,tecnologias,tipo_puesto,idioma,formacion,nivel_profesional
https://www.tecnoempleo.com/aws-devops-engineer-axiom-software-solutions/aws-azure-kubernetes/rf-328a1c9f12bdf3e7714c,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, AWS, Azure, Kubernetes, FormaciÃ³n IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/cloud-infrastructure-specialist-santander/azure-aws-docker-kubernetes/rf-ea4e1d2c723343dc104d,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, azure, AWS, Docker, Kubernetes, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/data-engineer-snowflake-aws-python-krell-consultin/snowflake-aws-data-sql-/rf-e1b410109290439b044d,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, snowflake, aws, data, sql, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/data-technical-lead-axiom-software-solutions/aws-s3-redshift-glue-etl-pyth/rf-7979154c92ce335c5348,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, AWS S3, Redshift, Glue, ETL, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/privileged-access-management-axiom-software-soluti/pam-linux-windows/rf-424c139822a19312bd42,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, PAM, linux, windows, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/tecnico-seo-contenidos-page-personnel/seo-google-analytics-search-console-/rf-ac431499b2a1d39fcf45,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, SEO, Google Analytics, Search Console, Sistrix, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/ingeniero-infraestructuras-it-gmv/python-c-c-kubernetes/rf-481c1d5a5263a37ab247,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Python, C++, C, Kubernetes, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/responsable-it-michael-page/erp/rf-59de1591927943c78046,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, ERP, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/consultor-marco-documental-it-michael-page/consultoria/rf-a3e0158a72e5b348354b,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, consultoria, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/programador-plc-hays/plc-hmi/rf-1e571fb95202833d194c,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, PLC, HMI, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
