titulo,empresa,enlace,ubicacion,modalidad,tipo_empleo,tecnologias,fecha,descripcion
UrgenteSenior Backend Developer,THE MILL ADVENTURE,https://www.tecnoempleo.com/senior-backend-developer-the-mill-adventure/nodejs-typescript-aws-javascri/rf-d7a41d18a28fe3dffd48,12/05/2025,Actualizada,100% remoto,"NodeJS, Typescript, AWS",Actualizada,The Mill Adventure is a scale-up with the ultimate mission of building awesome products that will change the way the iGaming industry operates. We started our journey in 2019...NodeJSTypescriptAWS
UrgenteMachine Learning Engineer,Dataforce,https://www.tecnoempleo.com/machine-learning-engineer-dataforce/python-ml-pytorch-tensorflow/rf-f0301dded234c390b34b,12/05/2025,Actualizada,Barcelona,"Python, ML, PyTorch",Actualizada,"Work Location: Barcelona, onsite 
Engagement Model:  Full-time Employment   
Estimated Start Date: May 2025 
DataForce by TransPerfect is seeking a Machine Learning Engineer...PythonMLPyTorch"
UrgenteProgramadores/as y Consultores/as,Deister Consulting,https://www.tecnoempleo.com/programadores-consultores-as-deister-consulting/java-sql-javascript-scala-/rf-a7681539d2dba3c96c44,12/05/2025,Actualizada,Madrid,"java, sql, javascript",Actualizada,"OFERTA LABORAL MADRID

¿Quiénes somos?

Deister es una empresa especializada en el desarrollo de aplicaciones empresariales e implantación de nuestro propio ERP Axional, ...javasqljavascript"
UrgenteBackend Developer,Coosto,https://www.tecnoempleo.com/backend-developer-coosto/kafka-rabbitmq-mongodb-grafana-solid-go-elixir/rf-1e3610af62c043caf346,12/05/2025,Actualizada,Alicante,"Kafka, RabbitMQ, MongoDB",Actualizada,"Backend Software Developer (Medior)

Do you thrive when working on backend applications? Are you a team player with a good sense of humor and strong communication skills? And ...KafkaRabbitMQMongoDB"
UrgenteAdministrador de Sistemas Jr (DATA),PUE DATA,https://www.tecnoempleo.com/administrador-sistemas-jr-data-pue-data/linux-databricks-aws-scala-python/rf-478711b3326543034f40,12/05/2025,Actualizada,Madrid,"Linux, Databricks, AWS",Actualizada,"¡Impulsa tu carrera y únete a nuestro equipo como Administrador de Sistemas DATA! 🚀

¿Estás terminando tus estudios o eres recién graduado y te apasiona el mundo del ...LinuxDatabricksAWS"
Data Analyst  Python AWS,CAS TRAINING,https://www.tecnoempleo.com/data-analyst-python-aws-cas-training/python-sql-spark-apache-aws/rf-d2c818f0529e33a0cc49,12/05/2025,Actualizada,100% remoto,"PYTHON, SQL, SPARK",Actualizada,"CAS Training selecciona a varios data analyst a partir de dos años de experiencia en python , spark como en aws para proyecto remoto
Se valorará inglés hablado

Experiencia...PYTHONSQLSPARK"
Software Engineer  (inglés:B2),Second Window,https://www.tecnoempleo.com/software-engineer-ingles-b2-second-window/java-springboot-api-rest-aws-scr/rf-2add1af5d244e3a39a48,12/05/2025,Actualizada,100% remoto,"Java, Springboot, Api Rest",Actualizada,¡Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como Software Engineer en una posición 100% Teletrabajo. Proyecto estable y a largo plazo para ...JavaSpringbootApi Rest
Programador .NET,Second Window,https://www.tecnoempleo.com/programador-net-second-window/asp-net-c-jquery-sql-server-sharepoint/rf-70b81b6b32fd53dfbd40,12/05/2025,Actualizada,Madrid,"ASP .NET, C#, Jquery",Actualizada,¡Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como programador . Net en una posición 100% Teletrabajo. Proyecto estable y a largo plazo para ...ASP .NETC#Jquery
Programador Java /Jenkins/Sonar,Second Window,https://www.tecnoempleo.com/programador-java-jenkins-sonar-second-window/java-jenkins-sonar-javascript/rf-3fdb14f3121b53786840,12/05/2025,Actualizada,Madrid,"Java, Jenkins, Sonar",Actualizada,¡Te ofrecemos crecer con nosotros en nuestra unidad tecnológica de Software Development como Desarrollador Java! Si estas interesado en seguir impulsando tu carrera ...JavaJenkinsSonar
Programadores .NET,Seltime,https://www.tecnoempleo.com/programadores-net-seltime/net-c-angular-sql-server/rf-ec5b1f1de271d32fbc4c,12/05/2025,Actualizada,Madrid,".net, C#, Angular",Actualizada,"SELTIME compañía española en proceso de expansión, líder en dar soluciones tecnológicas específicas a cada cliente y un trato personalizado a nuestros profesionales.

....netC#Angular"
