titulo,empresa,descripcion,fecha,tecnologias,link
AWS DevOps Engineer,Axiom Software Solutions,"**Responsibilities:**

An AWS Cloud Platform Engineer will be part of the Gluon Platform team, and their responsibilities include:

- Creation and deployment of the Gluon ...AWSAzureKubernetes",,"AWS, Azure, Kubernetes",https://www.tecnoempleo.com/aws-devops-engineer-axiom-software-solutions/aws-azure-kubernetes/rf-328a1c9f12bdf3e7714c
Cloud Infrastructure Specialist,Santander,"Cloud Infrastructure Specialist Azure/AWS (Madrid or Málaga) - SCIB

Country: Spain

SCIB está buscando un/a Cloud Infrastructure Specialist Azure/AWS para nuestras ...azureAWSDocker",,"azure, AWS, Docker",https://www.tecnoempleo.com/cloud-infrastructure-specialist-santander/azure-aws-docker-kubernetes/rf-ea4e1d2c723343dc104d
Data Engineer (Snowflake/AWS/python),Krell Consulting & Training,"Descripción
Nos encontramos en la búsqueda de un/a Data engineer con al menos 3 años de experiencia para trabajar con importante cliente en contratación inicial con KRELL...snowflakeawsdata",,"snowflake, aws, data",https://www.tecnoempleo.com/data-engineer-snowflake-aws-python-krell-consultin/snowflake-aws-data-sql-/rf-e1b410109290439b044d
Data Technical Lead,Axiom Software Solutions,"Role: Data Tech Lead  
Location: Frankfurt, Germany (Hybrid)  
Type: Permanent OR Contract  
Salary: 85,000 euros/year  
Contract Rate: 400-500 euros/day  

Must be ...AWS S3RedshiftGlue",,"AWS S3, Redshift, Glue",https://www.tecnoempleo.com/data-technical-lead-axiom-software-solutions/aws-s3-redshift-glue-etl-pyth/rf-7979154c92ce335c5348
Privileged Access Management,Axiom Software Solutions,"Privileged Access Management (PAM) Specialist  
Location: Remote – UK and Europe  
Type: Subcontract  

Role Overview:  
We are seeking an experienced Privileged Access...PAMlinuxwindows",,"PAM, linux, windows",https://www.tecnoempleo.com/privileged-access-management-axiom-software-soluti/pam-linux-windows/rf-424c139822a19312bd42
Técnico/a SEO y Contenidos,Page Personnel,"Perfil buscado (Hombre/Mujer)

Gestionar y mantener los contenidos de la web y blog, siguiendo las directrices de marca.

Crear contenidos informativos y promocionales ...SEOGoogle AnalyticsSearch Console",,"SEO, Google Analytics, Search Console",https://www.tecnoempleo.com/tecnico-seo-contenidos-page-personnel/seo-google-analytics-search-console-/rf-ac431499b2a1d39fcf45
Ingeniero/a infraestructuras IT,GMV,Si la expresión Houston tenemos un problema te genera sentimientos encontrados... ¡Tu sitio está con nosotros!Estamos ampliando nuestros equipos en el sector espacial para...PythonC++C,,"Python, C++, C",https://www.tecnoempleo.com/ingeniero-infraestructuras-it-gmv/python-c-c-kubernetes/rf-481c1d5a5263a37ab247
Responsable de IT,Michael Page,"Perfil buscado (Hombre/Mujer)

- Supervisar y mantener la infraestructura tecnológica de la empresa.  
- Liderar proyectos de IT para mejorar los sistemas existentes, ERP...ERP",,ERP,https://www.tecnoempleo.com/responsable-it-michael-page/erp/rf-59de1591927943c78046
Consultor/a marco documental IT,Michael Page,"Perfil buscado (Hombre/Mujer)

> Identificación y análisis de requisitos regulatorios y normativos de aplicabilidad a riesgos tecnológicos.

> Acompañamiento y preparació...consultoria",,consultoria,https://www.tecnoempleo.com/consultor-marco-documental-it-michael-page/consultoria/rf-a3e0158a72e5b348354b
Programador/a PLC,HAYS,"Desde HAYS estamos colaborando con una empresa de ingeniería especializada en la automatización de procesos industriales. Ubicada en Badalona, se dedica principalmente a la ...PLCHMI",,"PLC, HMI",https://www.tecnoempleo.com/programador-plc-hays/plc-hmi/rf-1e571fb95202833d194c
Art Manager,Aristocrat,"We are seeking a dynamic and experienced Art Lead to drive the artistic vision, execution, and team management for our Innovation Lab. This role is an exciting opportunity to ...mobile game",,mobile game,https://www.tecnoempleo.com/art-manager-aristocrat/mobile-game/rf-e2d7146702d073e5f640
Product Owner,Aristocrat,"Aristocrat Interactive, a leading technological solution and platform provider in the iGaming industry with a passion to deliver cutting-edge products, is in search of a ...agilescrum",,"agile, scrum",https://www.tecnoempleo.com/product-owner-aristocrat/agile-scrum/rf-4d501432a23d93de1344
Técnico/a I+D,HAYS,"Desde Hays estamos en búsqueda de Técnico I+D en Soluciones Culinarias para industria situada en Valencia.

La persona que se incorpore deberá tener formación en ...Navision",,Navision,https://www.tecnoempleo.com/tecnico-i-d-hays/navision/rf-14211337e24b13df074d
Arquitecto de Soluciones IT,Michael Page,"**Perfil buscado (Hombre/Mujer)**

Reportando al Director de TI de la compañía, será responsable de la definición y diseño de la arquitectura de sistemas de la empresa...SOAAPI",,"SOA, API",https://www.tecnoempleo.com/arquitecto-soluciones-it-michael-page/soa-api/rf-e8f013e0122cf3aaa54f
Data Scientist con inglés,Aubay,"- Funciones de Data Scientist
- Comunicación con las partes interesadas del negocio (sin experiencia en TI)
- Análisis de la lógica empresarial en coordinación con las ...PythonSQLSpark",,"Python, SQL, Spark",https://www.tecnoempleo.com/data-scientist-con-ingles-aubay/python-sql-spark/rf-a9e81965825e339c1b44
Technical Writer with BA,Axiom Software Solutions,"Job Title: Technical Writer with BA or Architect Skills  
Location: Copenhagen, Denmark  
Duration: 6-12 month contract  
Working Mode: Hybrid (3 days onsite a week)  

...SaaS",,SaaS,https://www.tecnoempleo.com/technical-writer-with-ba-axiom-software-solutions/saas/rf-82df19a10278036d154e
Azure Devops Developer,Axiom Software Solutions,"Azure Devops Developer  
Contract Role – 6+ Months (Inside Ir35)  
Rate: 450 GBP PD  
2-4 times @ Warwick  

**Mandatory Skills**: Azure DevOps Operations  

**Key ...azure",,azure,https://www.tecnoempleo.com/azure-devops-developer-axiom-software-solutions/azure/rf-370f12d50281533dff48
CTO / Product Manager IoT (h/m),Michael Page,"Perfil buscado (Hombre/Mujer)

El candidat@ será responsable de liderar el área de sistemas para coordinar e impulsar el desarrollo y optimización del producto.

• ...IoTAWS",,"IoT, AWS",https://www.tecnoempleo.com/cto-product-manager-iot-h-m-michael-page/iot-aws/rf-67f013aae24363c2ac4d
IT Manager Spain and Portugal - Retail,Michael Page,"Perfil buscado (Hombre/Mujer)

We are seeking an experienced IT Manager for Spain & Portugal to lead and oversee IT operations, ensuring the alignment of business and ...SAP",,SAP,https://www.tecnoempleo.com/it-manager-spain-and-portugal-retail-michael-page/sap/rf-30981410c21f53924047
Delivery Project Manager - ERP y CRM,Michael Page,"Perfil buscado (Hombre/Mujer)

El/la Project Manager/IT Business Partner se ocupará de:

• Gestionar y supervisar todos los aspectos de los proyectos de entrega de ...PMP",,PMP,https://www.tecnoempleo.com/delivery-project-manager-erp-crm-michael-page/pmp/rf-10e6127922b4d3912146
Analista Jr. Control Interno,Michael Page,"Perfil buscado (Hombre/Mujer)

• Supervisión del marco de control: Definir, revisar y actualizar el marco de control basado en normativa de seguridad lógica, física y ...ISO 27001DORA",,"ISO 27001, DORA",https://www.tecnoempleo.com/analista-jr-control-interno-michael-page/iso-27001-dora/rf-98c8178f42d5f3c90d4e
Especialista Ciberseguridad,Grupo NS,"En Grupo NS seleccionamos para incorporación en plantilla dos profesionales con experiencia en ciberseguridad industrial (OT/IT) y gestión de superficie de ataque externa, ...CiberseguridadModbusProfinet",,"Ciberseguridad, Modbus, Profinet",https://www.tecnoempleo.com/especialista-ciberseguridad-grupo-ns/ciberseguridad-modbus-profinet/rf-c363102ca2b29385cf46
Programador/a PL/SQL Oracle Forms,Grupo NS,"En Grupo NS, estamos en búsqueda de 2 Programadores/as Senior en entorno Oracle con +3 años de experiencia, para formar parte de proyecto de mantenimiento en modalidad hí...oracleplsqlPL/SQL",,"oracle, plsql, PL/SQL",https://www.tecnoempleo.com/programador-pl-sql-oracle-forms-grupo-ns/oracle-plsql-pl-sql-apex/rf-b9201193e23be333f644
Desarrollador Java,Devoteam,"Devoteam es una consultora europea líder enfocada en estrategia digital, plataformas
tecnológicas, ciberseguridad y transformación empresarial a través de la tecnología...JavaSpringRestFul",,"Java, Spring, RestFul",https://www.tecnoempleo.com/desarrollador-java-devoteam/java-spring-restful-openapi-swagger/rf-4f08143612c203ba1b4a
Ingeniero/a de software,GMV,¿Quieres enfrentarte a nuevos retos sin renunciar a la estabilidad que da un grupo tecnológico de amplia experiencia? En GMV estamos ampliando nuestros equipos de software ...ExcelMatomoLinux,,"Excel, Matomo, Linux",https://www.tecnoempleo.com/ingeniero-software-gmv/excel-matomo-linux/rf-e2e511eeb2db630cf44d
.Net Backend Developer,HAYS,"Tu nueva empresa Excelente oportunidad para unirse a un prestigioso Partner de Microsoft en España, especializado en inteligencia artificial y seguridad en la nube. Esta ...NETC#",,"NET, C#",https://www.tecnoempleo.com/net-backend-developer-hays/net-c/rf-74041b254207033e7741
Health and Safety Engineer,Arelance,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...RAMECSS,,"RAM, ECSS",https://www.tecnoempleo.com/health-and-safety-engineer-arelance/ram-ecss/rf-de49198072f29301c74e
Desarrollador de software,Dynomic,"Buscamos un perfil que trabaje con .NET y esté familiarizado con el entorno azure. 
(nuestra app está desarrollada bajo esas premisas)

Queremos una persona que se ocupe del....netazure",,".net, azure",https://www.tecnoempleo.com/desarrollador-software-dynomic/net-azure/rf-c5fd11e7a25b734b034d
QA Automatización,PANEL Sistemas Informáticos,Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en cliente. Llevamos la innovación y la ...SeleniumJavaRest Assured,,"Selenium, Java, Rest Assured",https://www.tecnoempleo.com/qa-automatizacion-panel-sistemas-informaticos/selenium-java-rest-assured-g/rf-d3381b38221f43121048
Online Data Analyst Spanish (ES),TELUS International,Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This freelance opportunity allows you to work at ...Data,,Data,https://www.tecnoempleo.com/online-data-analyst-spanish-es-telus-international/data/rf-3bb61a9d3201e3b28f4e
Técnico de Redes,TRS Staffing Solutions,"En T.R.S. Staffing Solutions seleccionamos a un/a Técnico de Redes.

--- Buscamos una persona con 3 años de experiencia en la siguiente tecnología:

-	Cableado estructurado...CiscoHPAruba",,"Cisco, HP, Aruba",https://www.tecnoempleo.com/tecnico-redes-trs-staffing-solutions/cisco-hp-aruba-fortigate-fortianalyze/rf-867a1e939233034daf42
Arquitecto SAP HANA e ISU,ConsulSAP,"ConsulSAP busca Arquitecto SAP HANA e ISU con sólida experiencia en el sector de utilities. 

Esta posición requiere una mirada estratégica, capacidad para diseñar ...SAPSAP HANAHANA",,"SAP, SAP HANA, HANA",https://www.tecnoempleo.com/arquitecto-sap-hana-e-isu-consulsap/sap-sap-hana-hana-sap-isu-sap-utilitie/rf-b3361b7ef2fa03941a4a
Service Manager con Inglés,Digital Talent Agency,"En Zemsania estamos seleccionando, para importante empresa del sector situada en los alrededores de la Coruña, un perfil de:

SERVICE MANAGER CON INGLÉS.

En este rol, te ...itiljirasaas",,"itil, jira, saas",https://www.tecnoempleo.com/service-manager-con-ingles-digital-talent-agency/itil-jira-saas-aws/rf-bec91155826a83d1da48
DevSecOps Senior II,GlobalSysInfo,"Continuous Delivery and Deployment Process Automation:
Build a standardized workflow that enables our Product Teams to create and deliver new software releases with Security, ...DevSecOpsDevopskubernetes",,"DevSecOps, Devops, kubernetes",https://www.tecnoempleo.com/devsecops-senior-ii-globalsysinfo/devsecops-devops-kubernetes-kafka-data-c/rf-a0ef186d6218c3db7045
