titulo,empresa,enlace,ubicacion,modalidad,tipo_empleo,tecnologias,fecha,descripcion,link
AWS DevOps Engineer,Axiom Software Solutions,,09/05/2025,Málaga,DevOps,"AWS, Azure, Kubernetes",,"**Responsibilities:** An AWS Cloud Platform Engineer will be part of the Gluon Platform team, and their responsibilities include: - Creation and deployment of the Gluon ...AWSAzureKubernetes",https://www.tecnoempleo.com/aws-devops-engineer-axiom-software-solutions/aws-azure-kubernetes/rf-328a1c9f12bdf3e7714c
Cloud Infrastructure Specialist,Santander,,09/05/2025,Madrid,DevOps,"azure, AWS, Docker",,Cloud Infrastructure Specialist Azure/AWS (Madrid or Málaga) - SCIB Country: Spain SCIB está buscando un/a Cloud Infrastructure Specialist Azure/AWS para nuestras ...azureAWSDocker,https://www.tecnoempleo.com/cloud-infrastructure-specialist-santander/azure-aws-docker-kubernetes/rf-ea4e1d2c723343dc104d
Data Engineer (Snowflake/AWS/python),Krell Consulting & Training,,09/05/2025,Barcelona,(Híbrido),"snowflake, aws, data",,Descripción Nos encontramos en la búsqueda de un/a Data engineer con al menos 3 años de experiencia para trabajar con importante cliente en contratación inicial con KRELL...snowflakeawsdata,https://www.tecnoempleo.com/data-engineer-snowflake-aws-python-krell-consultin/snowflake-aws-data-sql-/rf-e1b410109290439b044d
Data Technical Lead,Axiom Software Solutions,,09/05/2025,Hessen,Big Data,"AWS S3, Redshift, Glue",,"Role: Data Tech Lead Location: Frankfurt, Germany (Hybrid) Type: Permanent OR Contract Salary: 85,000 euros/year Contract Rate: 400-500 euros/day Must be ...AWS S3RedshiftGlue",https://www.tecnoempleo.com/data-technical-lead-axiom-software-solutions/aws-s3-redshift-glue-etl-pyth/rf-7979154c92ce335c5348
Privileged Access Management,Axiom Software Solutions,,09/05/2025,London,Técnico de Sistemas,"PAM, linux, windows",,Privileged Access Management (PAM) Specialist Location: Remote – UK and Europe Type: Subcontract Role Overview: We are seeking an experienced Privileged Access...PAMlinuxwindows,https://www.tecnoempleo.com/privileged-access-management-axiom-software-soluti/pam-linux-windows/rf-424c139822a19312bd42
Técnico/a SEO y Contenidos,Page Personnel,,09/05/2025,Madrid,SEO/Posicionamiento Web,"SEO, Google Analytics, Search Console",,"Perfil buscado (Hombre/Mujer) Gestionar y mantener los contenidos de la web y blog, siguiendo las directrices de marca. Crear contenidos informativos y promocionales ...SEOGoogle AnalyticsSearch Console",https://www.tecnoempleo.com/tecnico-seo-contenidos-page-personnel/seo-google-analytics-search-console-/rf-ac431499b2a1d39fcf45
Ingeniero/a infraestructuras IT,GMV,,09/05/2025,Madrid,(Híbrido),"Python, C++, C",,Si la expresión Houston tenemos un problema te genera sentimientos encontrados... ¡Tu sitio está con nosotros!Estamos ampliando nuestros equipos en el sector espacial para...PythonC++C,https://www.tecnoempleo.com/ingeniero-infraestructuras-it-gmv/python-c-c-kubernetes/rf-481c1d5a5263a37ab247
Responsable de IT,Michael Page,,09/05/2025,Segovia,(Híbrido),ERP,,"Perfil buscado (Hombre/Mujer) - Supervisar y mantener la infraestructura tecnológica de la empresa. - Liderar proyectos de IT para mejorar los sistemas existentes, ERP...ERP",https://www.tecnoempleo.com/responsable-it-michael-page/erp/rf-59de1591927943c78046
Consultor/a marco documental IT,Michael Page,,09/05/2025,Madrid,(Híbrido),consultoria,,Perfil buscado (Hombre/Mujer) > Identificación y análisis de requisitos regulatorios y normativos de aplicabilidad a riesgos tecnológicos. > Acompañamiento y preparació...consultoria,https://www.tecnoempleo.com/consultor-marco-documental-it-michael-page/consultoria/rf-a3e0158a72e5b348354b
Programador/a PLC,HAYS,,09/05/2025,Barcelona,(Presencial),"PLC, HMI",,"Desde HAYS estamos colaborando con una empresa de ingeniería especializada en la automatización de procesos industriales. Ubicada en Badalona, se dedica principalmente a la ...PLCHMI",https://www.tecnoempleo.com/programador-plc-hays/plc-hmi/rf-1e571fb95202833d194c
Art Manager,Aristocrat,,09/05/2025,Barcelona,Diseño gráfico,mobile game,,"We are seeking a dynamic and experienced Art Lead to drive the artistic vision, execution, and team management for our Innovation Lab. This role is an exciting opportunity to ...mobile game",https://www.tecnoempleo.com/art-manager-aristocrat/mobile-game/rf-e2d7146702d073e5f640
